Div3 1:  http://codeforces.com/contest/977 $


Div3 2:  http://codeforces.com/contest/978

Div3 3:  http://codeforces.com/contest/988
Div3 4:  http://codeforces.com/contest/999
Div3 5:  http://codeforces.com/contest/1003
Div3 6:  http://codeforces.com/contest/1005
Div3 7:  http://codeforces.com/contest/1006
Div3 8:  http://codeforces.com/contest/1015
Div3 9:  http://codeforces.com/contest/1029
Div3 10:  http://codeforces.com/contest/1066
Div3 11:  http://codeforces.com/contest/1077
Div3 12:  http://codeforces.com/contest/1092
Div3 13:  http://codeforces.com/contest/1095
Div3 14:  http://codeforces.com/contest/1102
Div3 15:  http://codeforces.com/contest/1108
Div3 16:  http://codeforces.com/contest/1118
Div3 17:  http://codeforces.com/contest/1133
Div3 18:  http://codeforces.com/contest/1141
Div3 19:  http://codeforces.com/contest/1144
Div3 20:  http://codeforces.com/contest/1154
Div3 21:  http://codeforces.com/contest/1157
Div3 22:  http://codeforces.com/contest/1165
Div3 23:  http://codeforces.com/contest/1176
Div3 24:  http://codeforces.com/contest/1183
Div3 25:  http://codeforces.com/contest/1196
Div3 26:  http://codeforces.com/contest/1203
Div3 27:  http://codeforces.com/contest/1213
Div3 28:  http://codeforces.com/contest/1216
Div3 29:  http://codeforces.com/contest/1234
Div3 30:  http://codeforces.com/contest/1249
Div3 31:  http://codeforces.com/contest/1256
Div3 32:  http://codeforces.com/contest/1272
Div3 33:  http://codeforces.com/contest/1283
Div3 34:  http://codeforces.com/contest/1294
Div3 35:  http://codeforces.com/contest/1296
Div3 36:  http://codeforces.com/contest/1311
Div3 37:  http://codeforces.com/contest/1324
Div3 38:  http://codeforces.com/contest/1328
Div3 39:  http://codeforces.com/contest/1335
Div3 40:  http://codeforces.com/contest/1343
Div3 41:  http://codeforces.com/contest/1353
Div3 42:  http://codeforces.com/contest/1360
Div3 43:  http://codeforces.com/contest/1367
Div3 44:  http://codeforces.com/contest/1374
Div3 45:  http://codeforces.com/contest/1385
Div3 46:  http://codeforces.com/contest/1399
Div3 47:  http://codeforces.com/contest/1409
Div3 48:  http://codeforces.com/contest/1426
Div3 49:  http://codeforces.com/contest/1433
Div3 50:  http://codeforces.com/contest/1454
Div3 51:  http://codeforces.com/contest/1462
Div3 52:  http://codeforces.com/contest/1472
Div3 53:  http://codeforces.com/contest/1475
Div3 54:  http://codeforces.com/contest/1490
Div3 55:  http://codeforces.com/contest/1506
Div3 56:  http://codeforces.com/contest/1512
Div3 57:  http://codeforces.com/contest/1520
